customer_id,age,gender,country,preferred_channel,loyalty_tier,registration_date,last_purchase_days_ago,total_purchases,avg_order_value,email_open_rate,app_sessions_30d,returns_rate,support_tickets_12m,nps_score,omnichannel_flag,preferred_brand,preferred_category,total_revenue,churned
CUST_00027,61,F,Spain,email_campaign,Bronze,2025-01-22,29,2,29.67,0.067,10,0.461,0,5.0,0,Bershka,Footwear,59.34,0
CUST_00028,42,M,Spain,instagram_shop,Bronze,2024-05-18,179,3,49.55,0.124,14,0.083,6,8.0,0,Zara,Jewelry,148.65,0
CUST_00029,44,M,Spain,instagram_shop,Gold,2025-09-10,164,43,134.56,0.156,43,0.192,7,1.0,0,H&M,Dresses,5786.08,0
CUST_00030,59,M,Italy,ecommerce,Gold,2025-09-30,160,74,20.12,0.376,13,0.111,4,6.0,0,Stradivarius,Bags,1488.88,0
CUST_00031,45,F,Netherlands,email_campaign,Silver,2024-02-19,320,35,71.18,0.166,26,0.128,3,5.0,0,Massimo Dutti,Jewelry,2491.3,0
CUST_00032,33,M,Italy,loyalty_program,Bronze,2025-09-21,288,73,88.11,0.158,2,0.043,4,8.0,1,H&M,Bottoms,6432.03,1
CUST_00033,32,M,Spain,email_campaign,Bronze,2024-04-02,265,40,46.51,0.156,11,0.109,0,2.0,1,Reserved,Outerwear,1860.4,1
CUST_00034,64,M,Germany,physical_store,Gold,2024-05-03,297,58,22.55,0.346,57,0.298,5,2.0,1,COS,Footwear,1307.9,1
CUST_00035,61,F,France,email_campaign,Bronze,2024-10-13,25,34,28.26,0.207,13,0.214,7,7.0,0,Reserved,Outerwear,960.84,0
CUST_00036,20,M,Germany,ecommerce,Silver,2026-01-09,145,25,226.95,0.048,40,0.281,6,1.0,1,Uniqlo,Accessories,5673.75,1
CUST_00037,54,M,UK,physical_store,Platinum,2023-09-10,175,56,116.15,0.299,16,0.053,0,5.0,1,Massimo Dutti,Tops,6504.4,0
CUST_00038,24,F,Netherlands,mobile_app,Silver,2025-07-26,8,32,88.17,0.474,16,0.276,6,5.0,0,Stradivarius,Accessories,2821.44,0
CUST_00039,38,M,Brazil,physical_store,Bronze,2024-02-22,314,22,300.0,0.157,47,0.22,2,5.0,0,Stradivarius,Footwear,6600.0,0
CUST_00040,26,F,Spain,mobile_app,Bronze,2025-10-28,109,65,29.05,0.287,33,0.188,7,9.0,1,COS,Jewelry,1888.25,0
CUST_00041,56,F,Poland,loyalty_program,Bronze,2024-08-15,129,21,53.88,0.117,29,0.117,1,7.0,1,Mango,Bottoms,1131.48,0
CUST_00042,35,F,France,physical_store,Silver,2024-03-28,2,21,56.71,0.186,22,0.371,4,3.0,1,Bershka,Bags,1190.91,0
CUST_00043,21,M,Brazil,instagram_shop,Silver,2025-03-10,10,28,146.84,0.059,35,0.007,5,5.0,1,Zara,Jewelry,4111.52,0
CUST_00044,42,F,USA,loyalty_program,Bronze,2025-11-16,347,19,14.76,0.262,24,0.071,4,4.0,1,COS,Bottoms,280.44,0
CUST_00045,31,F,Germany,mobile_app,Bronze,2026-01-04,117,14,58.34,0.26,53,0.272,1,4.0,1,Stradivarius,Footwear,816.76,0
CUST_00046,26,F,France,ecommerce,Bronze,2024-12-27,319,24,54.51,0.066,39,0.181,4,8.0,0,Zara,Tops,1308.24,1
CUST_00047,43,F,USA,loyalty_program,Platinum,2024-08-23,11,20,105.54,0.536,31,0.198,1,8.0,0,Stradivarius,Footwear,2110.8,0
CUST_00048,19,F,Italy,loyalty_program,Gold,2025-10-26,96,32,38.58,0.118,22,0.127,3,10.0,1,COS,Accessories,1234.56,0
CUST_00049,37,M,USA,loyalty_program,Bronze,2024-12-17,93,74,144.2,0.086,40,0.032,3,5.0,1,Reserved,Tops,10670.8,0
CUST_00050,45,M,Brazil,mobile_app,Platinum,2025-09-13,102,52,75.45,0.146,15,0.04,4,5.0,0,Zara,Sportswear,3923.4,0
CUST_00051,64,F,Netherlands,mobile_app,Silver,2024-02-19,98,65,29.25,0.357,31,0.207,2,0.0,0,Reserved,Footwear,1901.25,0
CUST_00052,24,F,Germany,physical_store,Silver,2024-09-15,282,52,86.64,0.106,42,0.053,0,7.0,0,H&M,Accessories,4505.28,0
CUST_00053,61,F,France,instagram_shop,Silver,2023-09-22,295,58,49.62,0.407,9,0.17,4,7.0,1,COS,Dresses,2877.96,1
CUST_00054,25,M,USA,loyalty_program,Silver,2024-03-21,348,79,80.76,0.11,56,0.194,3,10.0,0,Uniqlo,Bags,6380.04,1
CUST_00055,64,F,Germany,physical_store,Bronze,2025-05-09,156,10,21.15,0.194,33,0.019,6,8.0,1,Zara,Sportswear,211.5,1
CUST_00056,52,F,France,physical_store,Silver,2024-03-10,145,70,43.98,0.491,32,0.414,5,6.0,1,Massimo Dutti,Sportswear,3078.6,0
CUST_00057,31,F,France,instagram_shop,Gold,2024-04-10,364,15,123.35,0.153,56,0.175,4,8.0,1,Reserved,Accessories,1850.25,1
CUST_00058,34,M,Brazil,physical_store,Bronze,2025-02-02,211,47,168.07,0.341,56,0.135,7,0.0,1,COS,Jewelry,7899.29,1
CUST_00059,53,M,Germany,instagram_shop,Bronze,2024-10-08,155,10,77.66,0.133,27,0.177,1,0.0,1,Massimo Dutti,Outerwear,776.6,0
CUST_00060,57,M,Brazil,ecommerce,Bronze,2025-11-12,242,21,45.2,0.347,50,0.267,6,9.0,1,Bershka,Dresses,949.2,1
CUST_00061,21,M,USA,instagram_shop,Bronze,2025-04-22,76,19,35.2,0.086,59,0.021,1,8.0,1,Pull&Bear,Bags,668.8,0
CUST_00062,19,F,UK,email_campaign,Bronze,2024-11-22,323,68,31.18,0.305,6,0.204,7,3.0,1,Mango,Tops,2120.24,1
CUST_00063,23,F,Netherlands,instagram_shop,Silver,2025-05-08,175,22,31.13,0.136,39,0.081,6,8.0,0,Uniqlo,Sportswear,684.86,0
CUST_00064,59,F,UK,instagram_shop,Bronze,2023-09-04,111,63,27.72,0.161,1,0.21,3,7.0,1,Stradivarius,Sportswear,1746.36,0
CUST_00065,21,F,Portugal,email_campaign,Bronze,2024-02-20,18,38,51.02,0.234,34,0.108,6,4.0,0,Stradivarius,Accessories,1938.76,0
CUST_00066,46,F,Spain,instagram_shop,Gold,2024-10-02,291,15,34.18,0.462,47,0.068,0,10.0,1,Bershka,Accessories,512.7,0
CUST_00067,35,F,UK,mobile_app,Silver,2025-01-13,274,70,84.95,0.178,6,0.097,1,10.0,1,Mango,Dresses,5946.5,0
CUST_00068,43,F,Italy,physical_store,Bronze,2024-06-12,238,75,72.85,0.461,12,0.261,3,4.0,1,Bershka,Accessories,5463.75,0
CUST_00069,61,M,Netherlands,physical_store,Bronze,2025-12-14,198,44,131.37,0.089,59,0.202,7,0.0,0,Reserved,Footwear,5780.28,0
CUST_00070,51,F,Spain,ecommerce,Silver,2024-12-24,162,30,85.87,0.445,2,0.369,2,1.0,0,Uniqlo,Underwear,2576.1,0
CUST_00071,27,M,USA,ecommerce,Gold,2026-02-01,200,24,106.75,0.548,24,0.055,3,10.0,1,Stradivarius,Underwear,2562.0,0
CUST_00072,53,M,Brazil,email_campaign,Bronze,2024-06-30,234,46,28.38,0.097,6,0.196,3,1.0,1,COS,Accessories,1305.48,0
CUST_00073,31,F,Italy,mobile_app,Platinum,2024-01-07,340,4,80.79,0.331,56,0.091,0,0.0,0,Zara,Bottoms,323.16,1
CUST_00074,48,M,Spain,ecommerce,Gold,2024-10-06,43,6,66.65,0.12,54,0.115,7,1.0,1,Zara,Underwear,399.9,0
CUST_00075,32,F,Spain,physical_store,Gold,2025-11-23,82,38,11.25,0.295,43,0.231,6,8.0,0,Massimo Dutti,Footwear,427.5,0
CUST_00076,25,M,France,ecommerce,Bronze,2025-01-30,27,26,52.21,0.189,26,0.211,0,10.0,1,COS,Footwear,1357.46,0
CUST_00077,31,F,Portugal,ecommerce,Bronze,2024-07-02,304,19,24.43,0.631,21,0.253,5,1.0,1,Massimo Dutti,Dresses,464.17,0
CUST_00078,40,NB,Brazil,instagram_shop,Bronze,2025-01-27,69,2,16.16,0.385,27,0.08,0,7.0,0,Reserved,Bags,32.32,0
CUST_00079,57,F,USA,ecommerce,Bronze,2023-06-20,199,68,42.59,0.134,4,0.15,5,5.0,1,Pull&Bear,Sportswear,2896.12,1
CUST_00080,38,F,Germany,email_campaign,Bronze,2024-01-18,216,69,32.88,0.255,1,0.02,2,6.0,1,H&M,Tops,2268.72,0
CUST_00081,33,M,UK,physical_store,Bronze,2023-09-11,124,47,29.88,0.224,47,0.091,1,3.0,1,Mango,Tops,1404.36,0
CUST_00082,62,F,Netherlands,email_campaign,Silver,2025-06-19,16,29,17.27,0.08,55,0.105,3,2.0,1,COS,Outerwear,500.83,0
CUST_00083,35,M,Portugal,email_campaign,Bronze,2024-10-12,126,64,226.43,0.058,35,0.318,0,6.0,1,Stradivarius,Jewelry,14491.52,0
CUST_00084,64,M,France,loyalty_program,Bronze,2025-06-26,14,12,20.15,0.134,23,0.084,1,7.0,0,Reserved,Sportswear,241.8,0
CUST_00085,41,M,France,mobile_app,Platinum,2024-11-18,39,73,41.7,0.353,31,0.335,1,5.0,0,Reserved,Tops,3044.1,0
CUST_00086,43,NB,Spain,loyalty_program,Bronze,2024-10-16,199,11,94.24,0.572,21,0.24,5,0.0,1,Stradivarius,Dresses,1036.64,0
CUST_00087,42,NB,Poland,loyalty_program,Silver,2023-11-12,108,8,119.44,0.332,41,0.157,2,8.0,0,Zara,Dresses,955.52,0
CUST_00088,62,F,UK,instagram_shop,Silver,2024-01-11,268,60,22.62,0.339,5,0.097,4,10.0,1,Reserved,Footwear,1357.2,1
CUST_00089,58,M,Portugal,email_campaign,Platinum,2024-03-27,353,26,45.85,0.442,50,0.265,7,5.0,1,Mango,Jewelry,1192.1,0
CUST_00090,46,M,Spain,mobile_app,Gold,2025-01-13,311,32,85.02,0.189,22,0.194,2,4.0,1,Reserved,Footwear,2720.64,0
CUST_00091,32,M,Portugal,physical_store,Bronze,2025-06-28,40,39,69.3,0.548,45,0.078,1,10.0,1,Zara,Bags,2702.7,0
CUST_00092,62,F,Italy,physical_store,Platinum,2023-05-30,347,4,74.04,0.113,13,0.326,6,7.0,0,Reserved,Underwear,296.16,0
CUST_00093,18,M,Brazil,mobile_app,Bronze,2023-07-02,269,44,21.01,0.258,54,0.153,6,8.0,1,Pull&Bear,Bags,924.44,1
CUST_00094,42,NB,Netherlands,email_campaign,Silver,2025-10-03,69,35,28.2,0.339,52,0.147,2,9.0,1,Uniqlo,Accessories,987.0,0
CUST_00095,24,M,UK,email_campaign,Bronze,2026-01-01,152,51,48.36,0.333,14,0.232,0,3.0,1,Pull&Bear,Bags,2466.36,0
CUST_00096,26,F,France,instagram_shop,Silver,2025-08-26,187,51,42.53,0.299,59,0.072,6,2.0,1,Zara,Bags,2169.03,1
CUST_00097,41,F,Poland,instagram_shop,Silver,2025-05-29,352,29,62.27,0.079,42,0.12,5,7.0,1,Uniqlo,Underwear,1805.83,1
CUST_00098,18,F,USA,loyalty_program,Silver,2025-05-15,241,78,23.44,0.371,5,0.209,0,1.0,1,Mango,Underwear,1828.32,1
CUST_00099,61,M,Germany,physical_store,Silver,2023-11-25,227,36,119.25,0.139,21,0.162,2,8.0,0,COS,Outerwear,4293.0,0
CUST_00100,25,M,Brazil,instagram_shop,Bronze,2025-11-28,204,78,21.04,0.322,43,0.043,1,4.0,0,Mango,Footwear,1641.12,1
CUST_00101,41,F,UK,mobile_app,Bronze,2024-02-09,267,60,65.66,0.244,23,0.023,0,1.0,0,Pull&Bear,Accessories,3939.6,0
CUST_00102,28,F,Italy,physical_store,Silver,2024-02-16,118,15,28.49,0.04,13,0.166,3,7.0,0,COS,Bottoms,427.35,1
CUST_00103,34,F,UK,email_campaign,Bronze,2023-08-23,317,51,44.16,0.325,24,0.181,3,3.0,0,Reserved,Footwear,2252.16,1
CUST_00104,25,F,USA,physical_store,Bronze,2024-11-09,292,50,16.8,0.433,26,0.088,2,9.0,0,Massimo Dutti,Underwear,840.0,0
CUST_00105,52,M,Netherlands,ecommerce,Silver,2026-03-15,222,55,47.73,0.084,37,0.274,0,7.0,1,COS,Dresses,2625.15,0
CUST_00106,52,M,Netherlands,physical_store,Platinum,2025-08-16,63,12,92.97,0.158,50,0.248,5,0.0,1,COS,Underwear,1115.64,0
CUST_00107,50,F,Portugal,instagram_shop,Bronze,2024-10-08,5,50,150.31,0.312,13,0.274,6,6.0,1,Pull&Bear,Underwear,7515.5,0
CUST_00108,22,F,Spain,mobile_app,Silver,2024-05-11,334,62,50.49,0.277,20,0.229,1,7.0,1,Pull&Bear,Outerwear,3130.38,1
CUST_00109,59,F,Netherlands,email_campaign,Bronze,2025-08-22,292,5,20.6,0.098,16,0.091,1,9.0,0,COS,Outerwear,103.0,1
CUST_00110,56,NB,Poland,email_campaign,Bronze,2024-08-14,145,27,104.83,0.574,13,0.141,1,1.0,0,COS,Sportswear,2830.41,0
CUST_00111,58,F,Germany,instagram_shop,Bronze,2023-10-30,150,79,72.07,0.202,32,0.069,0,2.0,0,COS,Tops,5693.53,0
CUST_00112,45,F,Italy,instagram_shop,Silver,2025-05-19,159,9,47.69,0.272,41,0.141,3,4.0,1,Mango,Accessories,429.21,0
CUST_00113,24,F,USA,instagram_shop,Silver,2023-09-21,269,35,35.42,0.406,57,0.027,4,6.0,0,Bershka,Footwear,1239.7,0
CUST_00114,26,M,France,ecommerce,Bronze,2026-04-01,319,13,49.56,0.276,48,0.05,1,10.0,0,Zara,Dresses,644.28,1
CUST_00115,25,M,Netherlands,mobile_app,Silver,2024-10-15,11,44,55.88,0.128,8,0.17,3,4.0,0,Bershka,Dresses,2458.72,0
CUST_00116,29,M,France,ecommerce,Bronze,2023-06-17,69,46,104.34,0.113,41,0.316,5,8.0,1,Mango,Accessories,4799.64,0
CUST_00117,51,F,Netherlands,instagram_shop,Bronze,2025-04-07,192,68,27.71,0.13,17,0.258,1,3.0,1,Mango,Sportswear,1884.28,1
CUST_00118,50,F,Poland,mobile_app,Silver,2023-06-03,102,77,31.78,0.218,57,0.09,5,3.0,1,Zara,Accessories,2447.06,0
CUST_00119,40,F,France,instagram_shop,Bronze,2025-09-02,32,74,45.25,0.084,10,0.029,4,7.0,0,Pull&Bear,Tops,3348.5,0
CUST_00120,41,M,Spain,mobile_app,Bronze,2024-08-04,202,53,18.43,0.33,48,0.172,2,9.0,0,Stradivarius,Bottoms,976.79,0
CUST_00121,54,F,Italy,email_campaign,Silver,2023-06-03,266,1,94.65,0.228,43,0.161,2,6.0,1,Zara,Tops,94.65,0
CUST_00122,52,F,Germany,ecommerce,Gold,2025-02-24,108,11,87.62,0.14,28,0.038,2,10.0,1,Zara,Outerwear,963.82,0
CUST_00123,61,M,Poland,loyalty_program,Gold,2025-05-29,54,50,69.29,0.552,4,0.117,0,3.0,1,Stradivarius,Outerwear,3464.5,0
CUST_00124,57,M,Spain,instagram_shop,Bronze,2024-03-03,338,9,378.5,0.315,23,0.118,2,6.0,1,Zara,Jewelry,3406.5,0
CUST_00125,39,F,Germany,instagram_shop,Bronze,2025-05-12,190,38,94.07,0.262,52,0.181,7,7.0,0,Pull&Bear,Outerwear,3574.66,0
CUST_00126,44,F,Spain,physical_store,Gold,2026-04-06,239,13,160.15,0.355,4,0.023,1,1.0,0,Mango,Footwear,2081.95,0
CUST_00127,52,F,Spain,loyalty_program,Bronze,2024-06-13,343,5,57.33,0.084,9,0.098,6,0.0,1,Zara,Bottoms,286.65,1
CUST_00128,18,M,Spain,email_campaign,Silver,2023-07-12,338,25,35.21,0.262,1,0.004,4,10.0,1,COS,Jewelry,880.25,0
CUST_00129,52,M,Portugal,instagram_shop,Gold,2026-02-27,291,10,17.27,0.221,22,0.006,4,6.0,1,Reserved,Underwear,172.7,0
CUST_00130,54,F,Germany,ecommerce,Silver,2025-08-21,323,5,69.76,0.196,31,0.064,6,0.0,0,Bershka,Tops,348.8,1
CUST_00131,64,F,Spain,email_campaign,Bronze,2024-03-25,321,22,84.17,0.037,0,0.211,0,0.0,1,Reserved,Jewelry,1851.74,0
CUST_00132,31,M,Brazil,instagram_shop,Platinum,2024-07-17,273,42,114.86,0.151,31,0.357,6,8.0,1,Uniqlo,Bags,4824.12,1
CUST_00133,20,M,Brazil,ecommerce,Silver,2024-12-03,42,20,36.52,0.388,17,0.094,6,5.0,0,Pull&Bear,Dresses,730.4,0
CUST_00134,18,F,Netherlands,physical_store,Silver,2025-12-10,198,28,93.08,0.2,15,0.037,4,5.0,0,Stradivarius,Sportswear,2606.24,1
CUST_00135,22,F,Italy,physical_store,Silver,2024-11-30,121,21,19.33,0.606,15,0.19,6,2.0,1,H&M,Tops,405.93,0
CUST_00136,43,F,France,ecommerce,Bronze,2025-10-28,334,11,58.68,0.221,36,0.141,5,3.0,1,Mango,Outerwear,645.48,1
CUST_00137,31,F,Netherlands,email_campaign,Bronze,2025-10-14,284,69,84.83,0.508,54,0.247,7,2.0,1,Pull&Bear,Jewelry,5853.27,0
CUST_00138,56,M,Portugal,ecommerce,Gold,2023-07-17,295,37,91.44,0.283,58,0.214,2,9.0,1,Bershka,Underwear,3383.28,1
CUST_00139,44,M,Brazil,loyalty_program,Bronze,2025-11-17,182,49,105.21,0.3,54,0.072,0,0.0,0,COS,Tops,5155.29,0
CUST_00140,26,M,Germany,ecommerce,Bronze,2025-07-24,100,69,83.81,0.178,23,0.375,2,6.0,1,Massimo Dutti,Jewelry,5782.89,0
CUST_00141,32,F,Italy,physical_store,Bronze,2025-07-19,11,33,59.68,0.124,53,0.019,0,3.0,0,Bershka,Dresses,1969.44,0
CUST_00142,32,M,Italy,physical_store,Bronze,2023-08-08,233,45,147.3,0.405,18,0.225,6,3.0,1,Pull&Bear,Sportswear,6628.5,1
CUST_00143,43,F,France,physical_store,Silver,2025-05-04,117,8,52.36,0.261,59,0.239,2,7.0,1,Pull&Bear,Bottoms,418.88,0
CUST_00144,59,F,Germany,loyalty_program,Platinum,2024-10-12,64,6,54.15,0.434,39,0.116,1,2.0,1,COS,Accessories,324.9,1
CUST_00145,30,F,USA,instagram_shop,Bronze,2023-11-23,176,15,193.22,0.37,0,0.016,6,3.0,1,Pull&Bear,Sportswear,2898.3,0
CUST_00146,49,F,France,loyalty_program,Silver,2025-01-29,83,15,5.84,0.435,10,0.06,5,7.0,0,Stradivarius,Outerwear,87.6,0
CUST_00147,56,M,Italy,instagram_shop,Silver,2025-02-20,2,9,86.52,0.362,50,0.242,5,6.0,1,Pull&Bear,Bags,778.68,1
CUST_00148,49,F,Portugal,loyalty_program,Silver,2024-07-08,299,61,88.88,0.313,39,0.002,2,2.0,0,H&M,Jewelry,5421.68,1
CUST_00149,21,F,Poland,mobile_app,Bronze,2024-01-11,217,56,38.99,0.479,18,0.151,5,10.0,0,Stradivarius,Bags,2183.44,1
CUST_00150,47,F,Poland,instagram_shop,Silver,2024-03-04,242,5,55.42,0.585,4,0.427,4,9.0,1,Pull&Bear,Sportswear,277.1,0
CUST_00151,54,F,Brazil,email_campaign,Platinum,2023-10-23,297,26,54.02,0.176,20,0.12,6,6.0,1,Reserved,Bags,1404.52,1
CUST_00152,40,F,Italy,email_campaign,Bronze,2023-05-14,60,57,46.03,0.467,54,0.137,6,4.0,1,Bershka,Jewelry,2623.71,0
CUST_00153,56,F,Portugal,physical_store,Silver,2023-09-26,203,35,51.9,0.202,19,0.091,3,8.0,0,Uniqlo,Bags,1816.5,1
CUST_00154,62,M,France,loyalty_program,Platinum,2025-08-03,40,10,74.04,0.181,57,0.205,0,9.0,1,Pull&Bear,Footwear,740.4,0
CUST_00155,32,F,Portugal,ecommerce,Gold,2024-11-16,315,21,33.98,0.344,17,0.362,0,0.0,1,Mango,Jewelry,713.58,1
CUST_00156,60,F,UK,physical_store,Silver,2025-01-02,45,12,54.4,0.412,33,0.036,0,1.0,1,H&M,Jewelry,652.8,0
CUST_00157,46,F,France,ecommerce,Platinum,2025-11-27,298,9,18.55,0.208,22,0.385,3,7.0,1,Massimo Dutti,Tops,166.95,0
CUST_00158,53,M,Spain,loyalty_program,Bronze,2024-05-15,119,16,33.39,0.102,18,0.323,2,8.0,0,Bershka,Bottoms,534.24,0
CUST_00159,30,F,France,physical_store,Silver,2026-02-23,131,73,22.9,0.051,9,0.167,0,5.0,0,Uniqlo,Jewelry,1671.7,0
CUST_00160,49,F,Brazil,physical_store,Bronze,2024-12-22,280,54,61.81,0.278,49,0.117,0,3.0,0,Mango,Underwear,3337.74,1
CUST_00161,24,F,Poland,email_campaign,Bronze,2025-01-11,50,23,23.77,0.35,47,0.054,2,8.0,0,Bershka,Jewelry,546.71,0
CUST_00162,39,F,France,ecommerce,Silver,2026-03-24,88,39,17.92,0.655,36,0.158,6,6.0,0,COS,Dresses,698.88,0
CUST_00163,45,F,Spain,mobile_app,Bronze,2025-11-13,21,22,17.97,0.452,44,0.171,6,2.0,1,Pull&Bear,Jewelry,395.34,0
CUST_00164,19,M,UK,mobile_app,Bronze,2025-12-08,232,55,23.91,0.107,33,0.045,5,2.0,0,Stradivarius,Footwear,1315.05,1
CUST_00165,59,M,Portugal,physical_store,Bronze,2024-12-25,43,31,124.61,0.102,42,0.046,3,8.0,0,Zara,Underwear,3862.91,0
CUST_00166,62,F,Germany,loyalty_program,Bronze,2025-11-20,23,74,186.59,0.348,43,0.036,4,8.0,1,Uniqlo,Dresses,13807.66,0
CUST_00167,23,M,Poland,physical_store,Bronze,2026-02-02,216,47,41.65,0.088,20,0.128,5,6.0,0,Uniqlo,Footwear,1957.55,0
CUST_00168,45,M,Portugal,email_campaign,Gold,2024-05-31,277,27,16.53,0.307,39,0.179,5,2.0,0,Reserved,Bottoms,446.31,1
CUST_00169,45,F,UK,ecommerce,Bronze,2025-11-13,194,48,42.93,0.306,43,0.032,7,5.0,1,Bershka,Underwear,2060.64,0
CUST_00170,61,F,Germany,physical_store,Silver,2023-05-21,215,39,165.46,0.189,46,0.266,7,10.0,1,Bershka,Underwear,6452.94,0
CUST_00171,61,F,Italy,loyalty_program,Silver,2024-12-06,179,21,65.59,0.282,14,0.113,6,6.0,0,Mango,Tops,1377.39,0
CUST_00172,37,F,Netherlands,mobile_app,Bronze,2024-09-14,143,15,16.97,0.133,21,0.069,4,0.0,1,Uniqlo,Accessories,254.55,0
CUST_00173,47,M,Brazil,ecommerce,Gold,2023-07-18,314,45,234.87,0.39,16,0.161,1,6.0,0,Massimo Dutti,Underwear,10569.15,1
CUST_00174,28,M,Portugal,physical_store,Gold,2025-01-24,26,19,40.99,0.201,41,0.212,6,3.0,1,Pull&Bear,Accessories,778.81,0
CUST_00175,45,NB,USA,ecommerce,Bronze,2025-07-11,218,53,35.62,0.553,6,0.141,7,7.0,0,Mango,Bottoms,1887.86,0
CUST_00176,42,M,Germany,email_campaign,Platinum,2023-08-13,59,55,139.41,0.244,51,0.244,5,1.0,0,Uniqlo,Sportswear,7667.55,0
CUST_00177,56,F,Italy,mobile_app,Silver,2024-11-26,346,49,68.14,0.358,51,0.185,0,7.0,0,COS,Underwear,3338.86,1
CUST_00178,50,F,USA,loyalty_program,Bronze,2023-08-13,45,78,153.12,0.549,24,0.209,6,6.0,1,Bershka,Tops,11943.36,0
CUST_00179,18,M,Netherlands,ecommerce,Silver,2023-12-26,224,61,48.92,0.547,57,0.185,5,0.0,0,Uniqlo,Outerwear,2984.12,0
CUST_00180,44,F,Netherlands,mobile_app,Silver,2025-03-14,350,60,51.43,0.35,21,0.241,7,4.0,1,COS,Underwear,3085.8,1
