age,gender_enc,loyalty_tier_enc,preferred_channel_enc,country_enc,age_group_enc,last_purchase_days_ago,total_purchases,avg_order_value,total_revenue,email_open_rate,app_sessions_30d,returns_rate,support_tickets_12m,nps_score,omnichannel_flag,recency_score,frequency_score,monetary_score,revenue_per_purchase,engagement_index,risk_index,channel_diversity,discount_sensitivity,brand_loyalty_index,customer_id,churned
61,0,0,2,8,3.0,261,77,118.46,9121.42,0.45,15,0.213,5,1.0,1,0.003816793893129771,4.356708826689592,9.118490398746253,116.94128205128206,0.535,5,4.0,0.24333333333333332,0.14285714285714285,CUST_00019,1
47,0,1,2,1,2.0,316,21,96.42,2024.82,0.346,8,0.076,2,4.0,1,0.0031545741324921135,3.091042453358316,7.613729835846869,92.03727272727272,0.4571333333333333,3,3.0,0.2175,0.25,CUST_00020,1
55,0,0,0,7,2.0,321,49,53.55,2623.95,0.126,10,0.051,3,10.0,0,0.003105590062111801,3.912023005428146,7.872817127225268,52.479,0.10446666666666667,5,5.0,0.22666666666666668,0.14285714285714285,CUST_00021,1
19,0,0,0,5,0.0,127,56,29.98,1678.88,0.384,26,0.425,0,3.0,0,0.0078125,4.04305126783455,7.426477641274734,29.4540350877193,0.2885333333333333,1,5.0,0.145,0.16666666666666666,CUST_00022,0
38,0,3,4,4,1.0,28,57,179.86,10252.02,0.265,29,0.009,0,0.0,0,0.034482758620689655,4.060443010546419,9.235327575316779,176.7589655172414,0.27283333333333337,0,1.0,0.14,0.3333333333333333,CUST_00023,0
50,0,1,5,0,2.0,339,61,9.07,553.27,0.265,13,0.115,1,9.0,1,0.0029411764705882353,4.127134385045092,6.317651932644658,8.923709677419355,0.4661666666666667,3,2.0,0.34199999999999997,0.16666666666666666,CUST_00024,1
29,0,2,4,5,1.0,228,38,131.22,4986.36,0.635,13,0.163,4,6.0,1,0.004366812227074236,3.6635616461296463,8.514661990628705,127.85538461538461,0.5771666666666666,5,2.0,0.165,0.25,CUST_00025,0
39,0,1,5,2,1.0,129,73,42.11,3074.03,0.19,28,0.085,6,7.0,1,0.007692307692307693,4.304065093204169,8.031069936290589,41.54094594594595,0.5436666666666666,2,5.0,0.2511111111111111,0.16666666666666666,CUST_00026,0
61,0,0,1,7,3.0,29,2,29.67,59.34,0.067,10,0.461,0,5.0,0,0.03333333333333333,1.0986122886681096,4.099995233730915,19.78,0.08676666666666666,3,3.0,0.245,0.2,CUST_00027,0
42,1,0,2,7,2.0,179,3,49.55,148.65,0.124,14,0.083,6,8.0,0,0.005555555555555556,1.3862943611198906,5.008299234298708,37.1625,0.13053333333333333,2,3.0,0.2225,0.3333333333333333,CUST_00028,0
44,1,1,2,7,2.0,164,43,134.56,5786.08,0.156,43,0.192,7,1.0,0,0.006060606060606061,3.784189633918261,8.663383125566762,131.50181818181818,0.3334666666666667,2,4.0,0.17,0.16666666666666666,CUST_00029,0
59,1,1,0,3,3.0,160,74,20.12,1488.88,0.376,13,0.111,4,6.0,0,0.006211180124223602,4.31748811353631,7.3064508587834816,19.851733333333335,0.19946666666666668,2,3.0,0.27,0.2,CUST_00030,0
45,0,3,1,4,2.0,320,35,71.18,2491.3,0.166,26,0.128,3,5.0,0,0.003115264797507788,3.58351893845611,7.820961257894368,69.20277777777778,0.22313333333333335,5,5.0,0.26666666666666666,0.16666666666666666,CUST_00031,0
33,1,0,3,3,1.0,288,73,88.11,6432.03,0.158,2,0.043,4,8.0,1,0.0034602076124567475,4.304065093204169,8.769200934854192,86.91932432432432,0.36073333333333335,5,4.0,0.14,0.2,CUST_00032,1
32,1,0,1,7,1.0,265,40,46.51,1860.4,0.156,11,0.109,0,2.0,1,0.0037593984962406013,3.713572066704308,7.52908417175161,45.37560975609756,0.42013333333333336,3,3.0,0.21,0.25,CUST_00033,1
64,1,1,5,2,3.0,297,58,22.55,1307.9,0.346,57,0.298,5,2.0,1,0.003355704697986577,4.07753744390572,7.176942368797674,22.167796610169493,0.7838,5,6.0,0.181,0.125,CUST_00034,1
61,0,0,1,1,3.0,25,34,28.26,960.84,0.207,13,0.214,7,7.0,0,0.038461538461538464,3.5553480614894135,6.868848116666654,27.452571428571428,0.14876666666666666,2,4.0,0.15999999999999998,0.25,CUST_00035,0
20,1,3,0,2,0.0,145,25,226.95,5673.75,0.048,40,0.281,6,1.0,1,0.00684931506849315,3.258096538021482,8.643781788515811,218.22115384615384,0.5810666666666666,2,1.0,0.215,0.3333333333333333,CUST_00036,1
54,1,2,5,8,2.0,175,56,116.15,6504.4,0.299,16,0.053,0,5.0,1,0.005681818181818182,4.04305126783455,8.780387880216747,114.11228070175439,0.4963666666666666,0,2.0,0.1775,0.2,CUST_00037,0
24,0,3,4,4,0.0,8,32,88.17,2821.44,0.474,16,0.276,6,5.0,0,0.1111111111111111,3.4965075614664802,7.945357038047646,85.49818181818182,0.24886666666666668,2,3.0,0.23625000000000002,0.125,CUST_00038,0
38,1,0,5,0,1.0,314,22,300.0,6600.0,0.157,47,0.22,2,5.0,0,0.0031746031746031746,3.1354942159291497,8.79497643168877,286.95652173913044,0.36043333333333333,3,2.0,0.2833333333333334,0.25,CUST_00039,0
26,0,0,4,7,0.0,109,65,29.05,1888.25,0.287,33,0.188,7,9.0,1,0.00909090909090909,4.189654742026425,7.543935203900829,28.609848484848484,0.6061000000000001,2,3.0,0.22599999999999998,0.16666666666666666,CUST_00040,0
56,0,0,3,5,2.0,129,21,53.88,1131.48,0.117,29,0.117,1,7.0,1,0.007692307692307693,3.091042453358316,7.032165197157099,51.43090909090909,0.5284333333333333,0,2.0,0.195,0.2,CUST_00041,0
35,0,3,5,1,1.0,2,21,56.71,1190.91,0.186,22,0.371,4,3.0,1,0.3333333333333333,3.091042453358316,7.083312341419068,54.13227272727273,0.5024666666666666,3,4.0,0.22166666666666668,0.16666666666666666,CUST_00042,0
21,1,3,2,0,0.0,10,28,146.84,4111.52,0.059,35,0.007,5,5.0,1,0.09090909090909091,3.367295829986474,8.321791258283687,141.77655172413796,0.5510333333333334,2,4.0,0.178,0.2,CUST_00043,0
42,0,0,3,9,2.0,347,19,14.76,280.44,0.262,24,0.071,4,4.0,1,0.0028735632183908046,2.995732273553991,5.639919280989248,14.022,0.5386,5,4.0,0.11,0.14285714285714285,CUST_00044,0
31,0,0,4,2,1.0,117,14,58.34,816.76,0.26,53,0.272,1,4.0,1,0.00847457627118644,2.70805020110221,6.706568895019969,54.45066666666666,0.7313333333333334,0,2.0,0.06666666666666667,0.25,CUST_00045,0
26,0,0,0,1,0.0,319,24,54.51,1308.24,0.066,39,0.181,4,8.0,0,0.003125,3.2188758248682006,7.177202095169763,52.3296,0.2798,5,4.0,0.23500000000000001,0.16666666666666666,CUST_00046,1
43,0,2,3,9,2.0,11,20,105.54,2110.8,0.536,31,0.198,1,8.0,0,0.08333333333333333,3.044522437723423,7.655295943372414,100.51428571428572,0.3674666666666667,0,4.0,0.1425,0.125,CUST_00047,0
19,0,1,3,3,0.0,96,32,38.58,1234.56,0.118,22,0.127,3,10.0,1,0.010309278350515464,3.4965075614664802,7.119279587584186,37.41090909090909,0.48206666666666664,2,2.0,0.132,0.16666666666666666,CUST_00048,0
37,1,0,3,9,1.0,93,74,144.2,10670.8,0.086,40,0.032,3,5.0,1,0.010638297872340425,4.31748811353631,9.275360027350112,142.27733333333333,0.5924666666666667,2,3.0,0.2225,0.3333333333333333,CUST_00049,0
45,1,2,4,0,2.0,102,52,75.45,3923.4,0.146,15,0.04,4,5.0,0,0.009708737864077669,3.970291913552122,8.274968752289237,74.02641509433963,0.1438,2,1.0,0.0,0.5,CUST_00050,0
64,0,3,4,4,3.0,98,65,29.25,1901.25,0.357,31,0.207,2,0.0,0,0.010101010101010102,4.189654742026425,7.550792675056632,28.806818181818183,0.3137666666666667,0,4.0,0.15166666666666667,0.25,CUST_00051,0
24,0,3,5,2,0.0,282,52,86.64,4505.28,0.106,42,0.053,0,7.0,0,0.0035335689045936395,3.970291913552122,8.413227258431348,85.00528301886791,0.31179999999999997,3,3.0,0.3033333333333333,0.3333333333333333,CUST_00052,0
61,0,3,2,1,3.0,295,58,49.62,2877.96,0.407,9,0.17,4,7.0,1,0.0033783783783783786,4.07753744390572,7.965184396802562,48.77898305084746,0.4821,5,3.0,0.265,0.2,CUST_00053,1
25,1,3,3,9,0.0,348,79,80.76,6380.04,0.11,56,0.194,3,10.0,0,0.0028653295128939827,4.382026634673881,8.761086372458635,79.7505,0.4063333333333333,5,1.0,0.32,0.3333333333333333,CUST_00054,1
64,0,0,5,2,3.0,156,10,21.15,211.5,0.194,33,0.019,6,8.0,1,0.006369426751592357,2.3978952727983707,5.358941988364472,19.227272727272727,0.5782,2,3.0,0.15,0.16666666666666666,CUST_00055,1
52,0,3,5,1,2.0,145,70,43.98,3078.6,0.491,32,0.414,5,6.0,1,0.00684931506849315,4.2626798770413155,8.032554997403894,43.36056338028169,0.6606333333333334,3,2.0,0.12666666666666668,0.25,CUST_00056,0
31,0,1,2,1,1.0,364,15,123.35,1850.25,0.153,56,0.175,4,8.0,1,0.0027397260273972603,2.772588722239781,7.523616365582009,115.640625,0.7192333333333334,5,2.0,0.06,0.25,CUST_00057,1
34,1,0,5,0,1.0,211,47,168.07,7899.29,0.341,56,0.135,7,0.0,1,0.0047169811320754715,3.8712010109078907,8.974654746642118,164.56854166666668,0.7756333333333334,5,2.0,0.26333333333333336,0.3333333333333333,CUST_00058,1
53,1,0,2,2,2.0,155,10,77.66,776.6,0.133,27,0.177,1,0.0,1,0.00641025641025641,2.3978952727983707,6.656212253146229,70.60000000000001,0.5199,0,3.0,0.26166666666666666,0.14285714285714285,CUST_00059,0
57,1,0,0,0,3.0,242,21,45.2,949.2,0.347,50,0.267,6,9.0,1,0.00411522633744856,3.091042453358316,6.856672488752821,43.14545454545455,0.7374333333333334,5,2.0,0.24,0.25,CUST_00060,1
21,1,0,2,9,0.0,76,19,35.2,668.8,0.086,59,0.021,1,8.0,1,0.012987012987012988,2.995732273553991,6.506979160360104,33.44,0.7191333333333333,0,4.0,0.22571428571428573,0.25,CUST_00061,0
19,0,0,1,8,0.0,323,68,31.18,2120.24,0.305,6,0.204,7,3.0,1,0.0030864197530864196,4.23410650459726,7.659756102335792,30.728115942028982,0.4315,5,3.0,0.20000000000000004,0.25,CUST_00062,1
23,0,3,2,4,0.0,175,22,31.13,684.86,0.136,39,0.081,6,8.0,0,0.005681818181818182,3.1354942159291497,6.530673525265742,29.776521739130434,0.3008,2,4.0,0.1685714285714286,0.16666666666666666,CUST_00063,0
59,0,0,2,8,3.0,111,63,27.72,1746.36,0.161,1,0.21,3,7.0,1,0.008928571428571428,4.1588830833596715,7.465861356449418,27.286875,0.35496666666666665,2,3.0,0.26749999999999996,0.2,CUST_00064,0
21,0,0,1,6,0.0,18,38,51.02,1938.76,0.234,34,0.108,6,4.0,0,0.05263157894736842,3.6635616461296463,7.570319533064288,49.71179487179487,0.29686666666666667,2,2.0,0.3066666666666667,0.25,CUST_00065,0
46,0,1,2,7,2.0,291,15,34.18,512.7,0.462,47,0.068,0,10.0,1,0.003424657534246575,2.772588722239781,6.241639437473222,32.04375,0.7519333333333333,3,2.0,0.22,0.3333333333333333,CUST_00066,0
35,0,3,4,8,1.0,274,70,84.95,5946.5,0.178,6,0.097,1,10.0,1,0.0036363636363636364,4.2626798770413155,8.690726242177114,83.75352112676056,0.39339999999999997,3,4.0,0.19333333333333336,0.25,CUST_00067,0
43,0,0,5,3,2.0,238,75,72.85,5463.75,0.461,12,0.261,3,4.0,1,0.0041841004184100415,4.330733340286331,8.606073653910112,71.89144736842105,0.5183,5,2.0,0.15500000000000003,0.5,CUST_00068,0
61,1,0,5,4,3.0,198,44,131.37,5780.28,0.089,59,0.202,7,0.0,0,0.005025125628140704,3.8066624897703196,8.66238039043646,128.45066666666665,0.4200333333333333,5,5.0,0.1622222222222222,0.16666666666666666,CUST_00069,0
51,0,3,0,7,2.0,162,30,85.87,2576.1,0.445,2,0.369,2,1.0,0,0.006134969325153374,3.4339872044851463,7.854420014711274,83.1,0.14683333333333334,1,4.0,0.21400000000000002,0.2,CUST_00070,0
27,1,1,0,9,1.0,200,24,106.75,2562.0,0.548,24,0.055,3,10.0,1,0.004975124378109453,3.2188758248682006,7.848933726364071,102.48,0.6244000000000001,5,2.0,0.25333333333333335,0.25,CUST_00071,0
53,1,0,1,0,2.0,234,46,28.38,1305.48,0.097,6,0.196,3,1.0,1,0.00425531914893617,3.8501476017100584,7.175091776768488,27.776170212765958,0.3691,5,5.0,0.24833333333333338,0.14285714285714285,CUST_00072,0
31,0,2,4,3,1.0,340,4,80.79,323.16,0.331,56,0.091,0,0.0,0,0.002932551319648094,1.6094379124341003,5.7812372210603185,64.632,0.47263333333333335,3,2.0,0.22599999999999998,0.2,CUST_00073,1
48,1,1,0,7,2.0,43,6,66.65,399.9,0.12,54,0.115,7,1.0,1,0.022727272727272728,1.9459101490553132,5.993712019648461,57.128571428571426,0.696,2,2.0,0.07,0.3333333333333333,CUST_00074,0
32,0,1,5,7,1.0,82,38,11.25,427.5,0.295,43,0.231,6,8.0,0,0.012048192771084338,3.6635616461296463,6.060290738037835,10.961538461538462,0.37516666666666665,2,2.0,0.26999999999999996,0.25,CUST_00075,0
25,1,0,0,1,0.0,27,26,52.21,1357.46,0.189,26,0.211,0,10.0,1,0.03571428571428571,3.295836866004329,7.2141069841929415,50.276296296296294,0.5300333333333334,0,2.0,0.24,0.3333333333333333,CUST_00076,0
31,0,0,0,6,1.0,304,19,24.43,464.17,0.631,21,0.253,5,1.0,1,0.003278688524590164,2.995732273553991,6.142402930172954,23.2085,0.6293,5,2.0,0.19000000000000003,0.25,CUST_00077,0
40,2,0,2,0,1.0,69,2,16.16,32.32,0.385,27,0.08,0,7.0,0,0.014285714285714285,1.0986122886681096,3.506157817298642,10.773333333333333,0.2955,2,4.0,0.19333333333333333,0.16666666666666666,CUST_00078,0
57,0,0,0,9,3.0,199,68,42.59,2896.12,0.134,4,0.15,5,5.0,1,0.005,4.23410650459726,7.971472419072333,41.9727536231884,0.3668666666666667,5,4.0,0.2233333333333333,0.14285714285714285,CUST_00079,1
38,0,0,1,2,1.0,216,69,32.88,2268.72,0.255,1,0.02,2,6.0,1,0.004608294930875576,4.248495242049359,7.727411754849835,32.41028571428571,0.38316666666666666,3,3.0,0.1125,0.25,CUST_00080,0
33,1,0,5,8,1.0,124,47,29.88,1404.36,0.224,47,0.091,1,3.0,1,0.008,3.8712010109078907,7.248048776705128,29.257499999999997,0.6805333333333333,0,3.0,0.23249999999999998,0.25,CUST_00081,0
62,0,3,1,4,3.0,16,29,17.27,500.83,0.08,55,0.105,3,2.0,1,0.058823529411764705,3.4011973816621555,6.218261416920094,16.694333333333333,0.6906666666666668,2,1.0,0.37,0.5,CUST_00082,0
35,1,0,1,6,1.0,126,64,226.43,14491.52,0.058,35,0.318,0,6.0,1,0.007874015748031496,4.174387269895637,9.581387933237085,222.94646153846153,0.5507333333333333,1,2.0,0.254,0.25,CUST_00083,0
64,1,0,3,1,3.0,14,12,20.15,241.8,0.134,23,0.084,1,7.0,0,0.06666666666666667,2.5649493574615367,5.492238059185343,18.6,0.19353333333333333,0,5.0,0.24833333333333332,0.16666666666666666,CUST_00084,0
41,1,2,4,1,1.0,39,73,41.7,3044.1,0.353,31,0.335,1,5.0,0,0.025,4.304065093204169,8.021289020327249,41.13648648648648,0.31256666666666666,1,3.0,0.08333333333333333,0.25,CUST_00085,0
43,2,0,3,7,2.0,199,11,94.24,1036.64,0.572,21,0.24,5,0.0,1,0.005,2.4849066497880004,6.944704182760339,86.38666666666667,0.6115999999999999,5,3.0,0.195,0.2,CUST_00086,0
42,2,3,3,5,2.0,108,8,119.44,955.52,0.332,41,0.157,2,8.0,0,0.009174311926605505,2.1972245773362196,6.863301698227832,106.16888888888889,0.3729333333333334,0,6.0,0.13142857142857142,0.2,CUST_00087,0
62,0,3,2,8,3.0,268,60,22.62,1357.2,0.339,5,0.097,4,10.0,1,0.0037174721189591076,4.110873864173311,7.213915572679691,22.249180327868853,0.4350333333333333,5,5.0,0.14625,0.14285714285714285,CUST_00088,1
58,1,2,1,6,3.0,353,26,45.85,1192.1,0.442,50,0.265,7,5.0,1,0.002824858757062147,3.295836866004329,7.084310240881755,44.15185185185185,0.7659333333333334,5,4.0,0.15333333333333335,0.14285714285714285,CUST_00089,0
46,1,1,4,7,2.0,311,32,85.02,2720.64,0.189,22,0.194,2,4.0,1,0.003205128205128205,3.4965075614664802,7.908989918770513,82.44363636363636,0.5033666666666666,3,1.0,0.3,0.5,CUST_00090,0
32,1,0,5,6,1.0,40,39,69.3,2702.7,0.548,45,0.078,1,10.0,1,0.024390243902439025,3.6888794541139363,7.9023764842622475,67.5675,0.7644,0,4.0,0.21200000000000002,0.25,CUST_00091,0
62,0,2,5,3,3.0,347,4,74.04,296.16,0.113,13,0.326,6,7.0,0,0.0028735632183908046,1.6094379124341003,5.694270714283606,59.232000000000006,0.12056666666666667,6,3.0,0.12,0.2,CUST_00092,0
18,1,0,4,0,0.0,269,44,21.01,924.44,0.258,54,0.153,6,8.0,1,0.003703703703703704,3.8066624897703196,6.830269300090291,20.543111111111113,0.7374,5,2.0,0.2575,0.25,CUST_00093,1
42,2,3,1,4,2.0,69,35,28.2,987.0,0.339,52,0.147,2,9.0,1,0.014285714285714285,3.58351893845611,6.895682697747868,27.416666666666668,0.7483666666666666,0,3.0,0.2725,0.25,CUST_00094,0
24,1,0,1,8,0.0,152,51,48.36,2466.36,0.333,14,0.232,0,3.0,1,0.006535947712418301,3.9512437185814275,7.810904032109346,47.43,0.4932333333333333,0,4.0,0.22200000000000003,0.2,CUST_00095,0
26,0,3,2,1,0.0,187,51,42.53,2169.03,0.299,59,0.072,6,2.0,1,0.005319148936170213,3.9512437185814275,7.6824962713237355,41.71211538461539,0.7830333333333332,5,4.0,0.152,0.16666666666666666,CUST_00096,1
41,0,3,2,5,1.0,352,29,62.27,1805.83,0.079,42,0.12,5,7.0,1,0.0028328611898017,3.4011973816621555,7.499329207583274,60.19433333333333,0.6036999999999999,5,5.0,0.2383333333333333,0.25,CUST_00097,1
18,0,3,3,9,0.0,241,78,23.44,1828.32,0.371,5,0.209,0,1.0,1,0.004132231404958678,4.3694478524670215,7.511699592081311,23.143291139240507,0.4446333333333333,3,1.0,0.21,0.5,CUST_00098,1
61,1,3,5,2,3.0,227,36,119.25,4293.0,0.139,21,0.162,2,8.0,0,0.0043859649122807015,3.6109179126442243,8.364973978438726,116.02702702702703,0.18169999999999997,3,3.0,0.194,0.2,CUST_00099,0
25,1,0,2,0,0.0,204,78,21.04,1641.12,0.322,43,0.043,1,4.0,0,0.004878048780487805,4.3694478524670215,7.403743368949838,20.773670886075948,0.3832666666666667,3,2.0,0.26666666666666666,0.3333333333333333,CUST_00100,1
41,0,0,4,8,1.0,267,60,65.66,3939.6,0.244,23,0.023,0,1.0,0,0.0037313432835820895,4.110873864173311,8.279088274961868,64.58360655737705,0.22653333333333336,3,3.0,0.2925,0.3333333333333333,CUST_00101,0
28,0,3,5,3,1.0,118,15,28.49,427.35,0.04,13,0.166,3,7.0,0,0.008403361344537815,2.772588722239781,6.059940618410053,26.709375,0.09866666666666667,2,4.0,0.20333333333333334,0.16666666666666666,CUST_00102,1
34,0,0,1,8,1.0,317,51,44.16,2252.16,0.325,24,0.181,3,3.0,0,0.0031446540880503146,3.9512437185814275,7.720088954333245,43.310769230769225,0.25750000000000006,5,3.0,0.124,0.2,CUST_00103,1
25,0,0,5,9,0.0,292,50,16.8,840.0,0.433,26,0.088,2,9.0,0,0.0034129692832764505,3.9318256327243257,6.734591659972948,16.470588235294116,0.30323333333333335,3,3.0,0.252,0.16666666666666666,CUST_00104,0
52,1,3,0,4,2.0,222,55,47.73,2625.15,0.084,37,0.274,0,7.0,1,0.004484304932735426,4.02535169073515,7.8732741743281185,46.877678571428575,0.5718666666666667,3,1.0,0.055,0.3333333333333333,CUST_00105,0
52,1,2,5,4,2.0,63,12,92.97,1115.64,0.158,50,0.248,5,0.0,1,0.015625,2.5649493574615367,7.0180794552688415,85.81846153846155,0.6807333333333334,2,2.0,0.21800000000000003,0.2,CUST_00106,0
50,0,0,2,6,2.0,5,50,150.31,7515.5,0.312,13,0.274,6,6.0,1,0.16666666666666666,3.9318256327243257,8.92485588306789,147.36274509803923,0.4802666666666667,2,3.0,0.225,0.2,CUST_00107,0
22,0,3,4,7,0.0,334,62,50.49,3130.38,0.277,20,0.229,1,7.0,1,0.0029850746268656717,4.143134726391533,8.049229080937437,49.68857142857143,0.5164333333333333,3,3.0,0.22,0.25,CUST_00108,1
59,0,0,1,4,3.0,292,5,20.6,103.0,0.098,16,0.091,1,9.0,0,0.0034129692832764505,1.791759469228055,4.6443908991413725,17.166666666666668,0.13606666666666667,3,2.0,0.17333333333333334,0.25,CUST_00109,1
56,2,0,1,5,2.0,145,27,104.83,2830.41,0.574,13,0.141,1,1.0,0,0.00684931506849315,3.332204510175204,7.948530099775874,101.08607142857143,0.2588666666666667,0,4.0,0.20400000000000001,0.2,CUST_00110,0
58,0,0,2,2,3.0,150,79,72.07,5693.53,0.202,32,0.069,0,2.0,0,0.006622516556291391,4.382026634673881,8.647261343941814,71.169125,0.27393333333333336,0,2.0,0.19000000000000003,0.25,CUST_00111,0
45,0,3,2,3,2.0,159,9,47.69,429.21,0.272,41,0.141,3,4.0,1,0.00625,2.302585092994046,6.064273461565794,42.921,0.6549333333333334,2,3.0,0.27,0.2,CUST_00112,0
24,0,3,2,9,0.0,269,35,35.42,1239.7,0.406,57,0.027,4,6.0,0,0.003703703703703704,3.58351893845611,7.123431015448826,34.43611111111111,0.5018,5,1.0,0.06,0.5,CUST_00113,0
26,1,0,0,1,0.0,319,13,49.56,644.28,0.276,48,0.05,1,10.0,0,0.003125,2.639057329615259,6.469684331125058,46.019999999999996,0.40280000000000005,3,1.0,0.23750000000000002,0.25,CUST_00114,1
25,1,3,4,4,0.0,11,44,55.88,2458.72,0.128,8,0.17,3,4.0,0,0.08333333333333333,3.8066624897703196,7.807802801310079,54.63822222222222,0.09173333333333333,2,3.0,0.2316666666666667,0.16666666666666666,CUST_00115,0
29,1,0,0,1,1.0,69,46,104.34,4799.64,0.113,41,0.316,5,8.0,1,0.014285714285714285,3.8501476017100584,8.476504521341218,102.12,0.6072333333333333,3,5.0,0.14,0.14285714285714285,CUST_00116,0
51,0,0,2,4,2.0,192,68,27.71,1884.28,0.13,17,0.258,1,3.0,1,0.0051813471502590676,4.23410650459726,7.5418316299650305,27.30840579710145,0.45233333333333337,3,4.0,0.256,0.16666666666666666,CUST_00117,1
50,0,3,4,5,2.0,102,77,31.78,2447.06,0.218,57,0.09,5,3.0,1,0.009708737864077669,4.356708826689592,7.803051153135778,31.3725641025641,0.7454000000000001,2,1.0,0.27,0.5,CUST_00118,0
40,0,0,2,1,1.0,32,74,45.25,3348.5,0.084,10,0.029,4,7.0,0,0.030303030303030304,4.31748811353631,8.116566359948322,44.64666666666667,0.09186666666666667,2,1.0,0.2,0.5,CUST_00119,0
